Sample,SiO2,Al2O3,TiO2,Fe2O3,MgO,CaO,Na2O,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Yb,Lu,Tectonic setting
B85R161,41.68,0.88,0.02,7.84,42.49,1.29,0.1,0.01,0.02,0.0,0.03,0.0,0.0,0.01,0.0,0.03,0.01,0.04,0.06,0.01,SSZ
B137R244,41.21,0.83,0.02,8.34,43.24,0.8,0.08,0.03,0.08,0.01,0.03,0.0,0.0,0.01,0.0,0.02,0.01,0.04,0.04,0.01,SSZ
B138R245,39.82,0.74,0.02,7.81,42.18,0.5,0.08,0.01,0.02,0.0,0.01,0.0,0.0,0.01,0.0,0.02,0.01,0.02,0.03,0.01,SSZ
Hz-3,42.8,1.14,0.02,8.09,40.2,1.75,0.03,0.03,0.04,0.02,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,SSZ
Hz-4,42.4,2.03,0.16,7.35,42.9,0.51,0.05,0.02,0.03,0.01,0.04,0.03,0.04,0.02,0.0,0.02,0.0,0.02,0.01,0.0,SSZ
Hz-5,40.5,0.51,0.14,7.62,43.2,2.16,0.07,0.02,0.05,0.01,0.05,0.02,0.02,0.01,0.0,0.03,0.01,0.02,0.03,0.0,SSZ
Hz-6,42.5,0.99,0.05,7.59,41.3,0.91,0.04,0.01,0.02,0.02,0.04,0.02,0.01,0.02,0.01,0.03,0.0,0.02,0.02,0.01,SSZ
Hz-7,40.9,1.99,0.13,8.25,42.1,1.49,0.05,0.04,0.03,0.01,0.05,0.01,0.03,0.02,0.0,0.02,0.01,0.01,0.01,0.01,SSZ
Sh1,44.9,0.56,0.01,9.12,43.5,0.56,0.01,0.1,0.22,0.02,0.1,0.03,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.01,SSZ
Sh2,43.4,0.65,0.01,9.05,45.9,0.29,0.03,0.07,0.23,0.02,0.13,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.07,0.01,SSZ
Sh6,42.9,0.65,0.0,8.58,45.2,0.62,0.01,0.71,0.2,0.03,0.13,0.03,0.01,0.02,0.01,0.08,0.01,0.06,0.06,0.01,SSZ
Sh7,44.3,0.47,0.0,8.88,46.9,0.57,0.01,0.08,0.26,0.03,0.09,0.02,0.02,0.07,0.01,0.11,0.02,0.04,0.02,0.01,SSZ
Sh8,43.7,0.32,0.0,9.16,47.3,0.75,0.02,0.11,0.25,0.03,0.13,0.04,0.02,0.04,0.0,0.01,0.02,0.06,0.06,0.01,SSZ
PS1,43.33,1.11,0.05,9.11,40.27,0.11,0.02,0.03,0.07,0.02,0.12,0.08,0.04,0.17,0.04,0.3,0.07,0.21,0.24,0.03,MOR
DS6,43.41,2.01,0.07,9.12,37.11,0.33,0.01,0.03,0.1,0.02,0.24,0.16,0.07,0.23,0.05,0.42,0.09,0.27,0.28,0.04,MOR
MK01,42.33,2.17,0.09,6.98,34.89,0.46,0.01,0.08,0.21,0.03,0.15,0.1,0.04,0.15,0.03,0.29,0.08,0.19,0.24,0.04,MOR
KO1,43.49,2.9,0.12,7.18,39.17,2.21,0.07,0.1,0.21,0.04,0.26,0.15,0.06,0.25,0.04,0.36,0.09,0.25,0.26,0.05,MOR
KO12,42.84,2.32,0.1,8.24,38.07,2.97,0.08,0.03,0.06,0.01,0.07,0.05,0.01,0.11,0.02,0.2,0.05,0.14,0.17,0.03,MOR
SL4,42.5,1.31,0.02,8.73,36.45,0.46,0.01,0.16,0.36,0.05,0.24,0.08,0.03,0.12,0.03,0.27,0.07,0.21,0.2,0.04,MOR
SG1,40.61,2.33,0.04,9.49,38.21,0.45,0.02,0.05,0.08,0.01,0.07,0.05,0.02,0.07,0.02,0.17,0.04,0.13,0.14,0.03,MOR
SG3,40.44,2.13,0.01,8.93,38.43,1.51,0.01,0.05,0.11,0.01,0.06,0.02,0.01,0.05,0.01,0.14,0.03,0.12,0.14,0.02,MOR
L18P,44.55,0.02,1.77,8.98,40.94,2.06,0.06,0.0,0.0,0.0,0.0,0.01,0.0,0.04,0.01,0.09,0.03,0.09,0.11,0.02,MOR
L42P,44.19,0.03,2.25,8.91,41.04,2.57,0.04,0.0,0.0,0.0,0.03,0.03,0.02,0.11,0.03,0.21,0.05,0.16,0.19,0.04,MOR
L48P,45.46,0.04,2.21,9.01,39.83,2.4,0.03,0.0,0.01,0.0,0.02,0.04,0.02,0.1,0.03,0.19,0.05,0.15,0.17,0.03,MOR
L5PB,43.15,0.0,0.43,8.79,45.67,0.71,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.0,SSZ
L6PA,43.53,0.0,0.3,9.06,45.89,0.54,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,SSZ
L38P,43.31,0.01,1.0,9.2,44.03,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.04,0.01,0.04,0.06,0.01,SSZ
LYOL2,42.79,0.0,0.21,9.25,45.7,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,SSZ
KPT1,45.08,0.72,0.0,7.16,45.47,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,SSZ
KPT3,44.03,0.67,0.01,7.39,45.77,0.53,0.0,0.01,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,MOR
KPT5,43.64,0.74,0.01,7.02,47.06,0.52,0.0,0.01,0.03,0.0,0.02,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.0,SSZ
